ABAD,"[21, 5, 22, 15]"
ABADESA,"[5, 15]"
ABALEADOR,"[22, 15]"
ABANDERADO,"[24, 22]"
ABANIQUERO,[15]
ABARQUERO,"[19, 22, 15]"
ABASTECEDOR,"[23, 15]"
ABASTERO,[22]
ABEJERO,[15]
ABLANDADOR,[15]
ABLEGADO,[22]
ABOGADO,"[10, 12, 13, 14, 15, 16, 18, 20, 22, 24]"
ABRECOCHES,[15]
ABREVADOR,"[23, 22, 15]"
ABREVIADOR,[22]
ABRIDOR,"[14, 15]"
ABRILLANTADOR,"[22, 15]"
ABRUMADOR,[22]
ACABADOR,"[14, 15]"
ACADEMICO,"[12, 13, 15, 18, 21, 22]"
ACARREADOR,"[10, 15, 22, 23, 24]"
ACCIONADOR,[15]
ACCIONARIO,[15]
ACCIONISTA,"[24, 22]"
ACECHADOR,[24]
ACECINADOR,[15]
ACEGUERO,"[22, 15]"
ACEITADOR,[15]
ACEITERO,"[14, 15]"
ACEITUNERO,"[22, 15]"
ACEMILERO,"[24, 10, 22, 15]"
ACENERO,"[19, 22, 15]"
ACEQUIADOR,[22]
ACEQUIERO,"[22, 15]"
ACERADOR,[19]
ACERISTA,[15]
ACETIFICADOR,[15]
ACHAFLANADOR,[22]
ACHICHINQUE,[22]
ACHINERO,[22]
ACHURADOR,[22]
ACIDIFICADOR,"[14, 15]"
ACLARADOR,[15]
ACOGOMBRADOR,[22]
ACOLCHADOR,[14]
ACOLITO,"[24, 15]"
ACOMODADOR,"[24, 22, 15]"
ACOMPANADOR,[23]
ACOMPANANTE,"[24, 22, 15]"
ACOMPANYANT,[17]
ACONDICIONADOR,"[14, 15]"
ACONSEJADOR,[23]
ACORDEONISTA,[15]
ACORDOBANADOR,[15]
ACOYUNTERO,"[22, 15]"
ACREEDOR,"[24, 15]"
ACRIBADOR,[15]
ACROBATA,"[24, 22, 15]"
ACTINOLOGO,[15]
ACTOR,"[12, 14, 15, 16, 17, 20, 21, 23, 24]"
ACTRIZ,"[24, 20, 15]"
ACTUARI,[17]
ACTUARIO,"[10, 14, 15, 16, 22, 24]"
ACUACULTOR,[10]
ACUAFORTISTA,[15]
ACUARELISTA,"[22, 14, 15]"
ACUARIOLOGO,[15]
ACUCHILLADIZO,[15]
ACUCHILLADOR,"[23, 22, 15]"
ACUICULTOR,"[10, 15]"
ACUNADOR,"[23, 22, 15]"
ACUPUNTOR,[15]
ACUPUNTURISTA,"[16, 14, 15]"
ACUSADOR,[15]
ADALID,[15]
ADAMASCADOR,[15]
ADAPTADOR,"[24, 23, 15]"
ADARGUERO,"[22, 15]"
ADELANTADO,"[21, 22]"
ADEMADOR,"[14, 22]"
ADEPTO,[24]
ADIESTRADOR,"[16, 23, 22, 15]"
ADIVINADOR,"[16, 22, 23]"
ADIVINO,"[24, 21, 22, 15]"
ADJUNTO,"[18, 13, 15]"
ADJUTOR,"[23, 15]"
ADMINISTRADOR,"[12, 13, 14, 15, 16, 17, 18, 20, 23, 24]"
ADMINISTRADOR APOSTOLICO,[5]
ADMINISTRADOR DE REDES INFORMATICAS,[12]
ADMINISTRADOR DIOCESANO,[5]
ADMINISTRATIVISTA,[15]
ADMINISTRATIVO,"[12, 13, 15, 18, 20]"
ADMONITOR,"[22, 15]"
ADOBADOR,"[23, 22, 15]"
ADOBER,[17]
ADOBERO,[19]
ADOQUINADOR,"[14, 15]"
ADORNADOR,[15]
ADORNISTA,"[22, 14, 15]"
ADQUISIDOR,[23]
ADUANERO,"[24, 14, 15]"
ADUFERO,[22]
ADUL,[22]
ADULERO,[22]
ADVERSARIO,[24]
ADVOCAT,[17]
AEDO,[22]
AEROGRAFO,[15]
AEROMANTE,[22]
AEROMANTICO,[15]
AEROMOZO,[15]
AERONAUTA,[15]
AEROTECNICO,[15]
AFEITADOR,"[24, 22, 23]"
AFILADOR,"[1, 10, 14, 15, 16, 19, 22]"
